Time, Normal Cells, Abnormal Cells, Invasive Cells, Average Stickiness, Average Jump Rate, Membrane Density
0.786667,95590,31,0,0.842538,1.25806,1,
0.793333,95589,32,0,0.838536,1.28125,1,
0.8,95588,33,0,0.838903,1.24242,1,
0.806667,95588,37,0,0.834145,1.21622,1,
0.813333,95585,40,0,0.832154,1.25,1,
0.82,95584,41,0,0.829859,1.2439,1,
0.826667,95582,44,0,0.833281,1.20455,1,
0.833333,95581,45,0,0.833853,1.17778,1,
0.84,95581,45,0,0.833853,1.17778,1,
0.846667,95581,45,0,0.833853,1.17778,1,
0.853333,95581,45,0,0.833853,1.17778,1,
0.86,95581,45,0,0.833853,1.17778,1,
0.866667,95581,45,0,0.833853,1.17778,1,
0.873333,95581,45,0,0.833853,1.17778,1,
0.88,95581,45,0,0.833853,1.17778,1,
0.886667,95581,45,0,0.833853,1.17778,1,
0.893333,95581,45,0,0.833853,1.17778,1,
0.9,95581,45,0,0.833853,1.17778,1,
0.906667,95581,45,0,0.833853,1.17778,1,
0.913333,95581,47,0,0.836213,1.23404,1,
0.92,95581,48,0,0.835281,1.22917,1,
0.926667,95581,48,0,0.835281,1.22917,1,
0.933333,95581,53,0,0.827872,1.32075,1,
0.94,95579,57,0,0.826133,1.33333,1,
0.946667,95579,59,0,0.825274,1.28814,1,
0.953333,95578,61,0,0.823825,1.2623,1,
0.96,95577,62,0,0.82381,1.25806,1,
0.966667,95576,65,0,0.825812,1.26154,1,
0.973333,95576,65,0,0.825812,1.26154,1,
0.98,95576,65,0,0.825812,1.26154,1,
0.986667,95576,65,0,0.825812,1.26154,1,
0.993333,95576,65,0,0.825812,1.26154,1,
1,95576,65,0,0.825812,1.26154,1,
1.00667,95576,65,0,0.825812,1.26154,1,
1.01333,95576,65,0,0.825812,1.26154,1,
1.02,95576,65,0,0.825812,1.26154,1,
1.02667,95576,65,0,0.825812,1.26154,1,
1.03333,95576,65,0,0.825812,1.26154,1,
1.04,95576,65,0,0.825812,1.26154,1,
1.04667,95576,66,0,0.826097,1.27273,1,
1.05333,95576,69,0,0.825482,1.28986,1,
1.06,95576,73,0,0.82632,1.32877,1,
1.06667,95573,78,0,0.82147,1.32051,1,
1.07333,95573,79,0,0.823067,1.31646,1,
1.08,95573,81,0,0.822894,1.30864,1,
1.08667,95572,84,0,0.821229,1.30952,1,
1.09333,95570,86,0,0.822388,1.33721,1,
1.1,95570,87,0,0.822885,1.33333,1,
1.10667,95570,87,0,0.822885,1.33333,1,
1.11333,95570,87,0,0.822885,1.33333,1,
1.12,95570,87,0,0.822885,1.33333,1,
1.12667,95570,87,0,0.822885,1.33333,1,
1.13333,95570,87,0,0.822885,1.33333,1,
1.14,95570,87,0,0.822885,1.33333,1,
1.14667,95570,87,0,0.822885,1.33333,1,
1.15333,95570,87,0,0.822885,1.33333,1,
1.16,95570,87,0,0.822885,1.33333,1,
1.16667,95570,87,0,0.822885,1.33333,1,
1.17333,95570,88,0,0.822455,1.32955,1,
1.18,95570,91,0,0.822695,1.36264,1,
1.18667,95570,92,0,0.821727,1.3913,1,
1.19333,95568,97,0,0.818295,1.39175,1,
1.2,95566,100,0,0.818514,1.38,1,
1.20667,95566,104,0,0.818151,1.375,1,
1.21333,95565,106,0,0.816622,1.37736,1,
1.22,95564,110,0,0.817715,1.40909,1,
1.22667,95564,111,0,0.818505,1.3964,1,
1.23333,95562,114,0,0.816435,1.37719,1,
1.24,95562,114,0,0.816435,1.37719,1,
1.24667,95562,114,0,0.816435,1.37719,1,
1.25333,95562,114,0,0.816435,1.37719,1,
1.26,95562,114,0,0.816435,1.37719,1,
1.26667,95562,114,0,0.816435,1.37719,1,
1.27333,95562,114,0,0.816435,1.37719,1,
1.28,95562,114,0,0.816435,1.37719,1,
1.28667,95562,114,0,0.816435,1.37719,1,
1.29333,95562,114,0,0.816435,1.37719,1,
1.3,95562,114,0,0.816435,1.37719,1,
1.30667,95560,118,0,0.81611,1.38983,1,
1.31333,95560,118,0,0.81611,1.38983,1,
1.32,95560,121,0,0.810889,1.39669,1,
1.32667,95558,125,0,0.81322,1.376,1,
1.33333,95557,130,0,0.813412,1.42308,1,
1.34,95554,135,0,0.812935,1.45185,1,
1.34667,95553,140,0,0.814106,1.46429,1,
1.35333,95553,142,0,0.81469,1.46479,1,
1.36,95553,145,0,0.813016,1.44828,1,
1.36667,95553,146,0,0.811384,1.44521,1,
1.37333,95553,146,0,0.811384,1.44521,1,
1.38,95553,146,0,0.811384,1.44521,1,
1.38667,95553,146,0,0.811384,1.44521,1,
1.39333,95553,146,0,0.811384,1.44521,1,
1.4,95553,146,0,0.811384,1.44521,1,
1.40667,95553,146,0,0.811384,1.44521,1,
1.41333,95553,146,0,0.811384,1.44521,1,
1.42,95553,146,0,0.811384,1.44521,1,
1.42667,95553,146,0,0.811384,1.44521,1,
1.43333,95553,148,0,0.81022,1.44595,1,
1.44,95551,150,0,0.811029,1.44667,1,
1.44667,95550,152,0,0.807595,1.44079,1,
1.45333,95548,156,0,0.807156,1.42949,1,
1.46,95547,159,0,0.807888,1.41509,1,
1.46667,95545,164,0,0.807368,1.40854,1,
1.47333,95541,170,0,0.807506,1.46471,1,
1.48,95540,175,0,0.808443,1.50286,1,
1.48667,95538,180,0,0.806254,1.47222,1,
1.49333,95535,183,0,0.806645,1.45355,1,
1.5,95535,183,0,0.806645,1.45355,1,
1.50667,95535,183,0,0.806645,1.45355,1,
1.51333,95535,184,0,0.807047,1.44565,1,
1.52,95535,184,0,0.807047,1.44565,1,
1.52667,95535,184,0,0.807047,1.44565,1,
1.53333,95535,184,0,0.807047,1.44565,1,
1.54,95535,184,0,0.807047,1.44565,1,
1.54667,95535,184,0,0.807047,1.44565,1,
1.55333,95535,184,0,0.807047,1.44565,1,
1.56,95535,184,0,0.807047,1.44565,1,
1.56667,95535,187,0,0.807424,1.45455,1,
1.57333,95534,191,0,0.804226,1.4555,1,
1.58,95533,193,0,0.803197,1.4456,1,
1.58667,95532,197,0,0.802211,1.45178,1,
1.59333,95528,203,0,0.802987,1.45813,1,
1.6,95522,213,0,0.804347,1.50704,1,
1.60667,95521,217,0,0.805359,1.51613,1,
1.61333,95518,223,0,0.803885,1.53812,1,
1.62,95514,229,0,0.802961,1.53275,1,
1.62667,95514,229,0,0.802961,1.53275,1,
1.63333,95513,229,0,0.799117,1.51965,1,
1.64,95513,230,0,0.802988,1.51739,1,
1.64667,95513,231,0,0.80325,1.51082,1,
1.65333,95513,231,0,0.80325,1.51082,1,
1.66,95513,231,0,0.799662,1.50216,1,
1.66667,95513,231,0,0.803416,1.51948,1,
1.67333,95513,231,0,0.803416,1.51948,1,
1.68,95513,231,0,0.803416,1.51948,1,
1.68667,95513,231,0,0.803416,1.51948,1,
1.69333,95513,234,0,0.804321,1.52564,1,
1.7,95510,238,0,0.804861,1.52101,1,
1.70667,95510,243,0,0.800815,1.51029,1,
1.71333,95510,246,0,0.800446,1.5122,1,
1.72,95507,249,0,0.797764,1.50201,1,
1.72667,95503,258,0,0.796088,1.54651,1,
1.73333,95502,262,0,0.79604,1.56489,1,
1.74,95500,268,0,0.798491,1.57836,1,
1.74667,95497,270,0,0.79575,1.58519,1,
1.75333,95496,274,0,0.799835,1.58029,1,
1.76,95496,274,0,0.799835,1.58029,1,
1.76667,95496,278,0,0.798796,1.58273,1,
1.77333,95496,280,0,0.79904,1.57857,1,
1.78,95495,281,0,0.79942,1.57295,1,
1.78667,95495,281,0,0.79942,1.57295,1,
1.79333,95495,281,0,0.79942,1.57295,1,
1.8,95495,280,0,0.796977,1.57857,1,
1.80667,95495,279,0,0.79711,1.57706,1,
1.81333,95495,279,0,0.797291,1.57348,1,
1.82,95494,283,0,0.801155,1.58657,1,
1.82667,95494,284,0,0.800439,1.58451,1,
1.83333,95494,286,0,0.79848,1.58392,1,
1.84,95493,293,0,0.79329,1.56655,1,
1.84667,95492,296,0,0.796565,1.57095,1,
1.85333,95491,297,0,0.796847,1.57239,1,
1.86,95490,303,0,0.797341,1.59736,1,
1.86667,95485,309,0,0.795802,1.62136,1,
1.87333,95482,316,0,0.795198,1.60127,1,
1.88,95482,317,0,0.795299,1.60252,1,
1.88667,95481,319,0,0.794003,1.59875,1,
1.89333,95481,321,0,0.79107,1.58879,1,
1.9,95480,324,0,0.796417,1.60802,1,
1.90667,95480,327,0,0.797295,1.59633,1,
1.91333,95480,327,0,0.797295,1.59633,1,
1.92,95480,327,0,0.797295,1.59633,1,
1.92667,95480,327,0,0.797295,1.59633,1,
1.93333,95480,327,0,0.797295,1.59633,1,
1.94,95480,327,0,0.797295,1.59633,1,
1.94667,95480,330,0,0.798328,1.60303,1,
1.95333,95479,331,0,0.79808,1.61027,1,
1.96,95478,332,0,0.79755,1.60542,1,
1.96667,95478,336,0,0.795438,1.61905,1,
1.97333,95475,342,0,0.791069,1.61988,1,
1.98,95475,344,0,0.793921,1.61337,1,
1.98667,95474,347,0,0.794636,1.63401,1,
1.99333,95471,354,0,0.791783,1.65819,1,
2,95469,360,0,0.790032,1.66667,1,
